Invoice Number,Vendor Code,Region,Invoice Date,Invoice Amount,Currency,PO Number,Hold Reason,Payment Status
US20-INV-200207,V771155,US20,2026-05-09,22435.19,EUR,PO1397710,nan,On Hold
UK30-INV-200191,V431236,UK30,2026-03-03,12379.09,EUR,PO9195810,nan,On Hold
US20-INV-200222,V744167,US20,2026-01-29,17306.31,USD,PO6693075,nan,On Hold
US20-INV-200177,V154886,US20,2026-04-24,8862.1,EUR,PO7437845,Price Difference,On Hold
DE10-INV-200260,V431236,DE10,2026-02-02,17025.69,EUR,PO9715912,Quantity Mismatch,On Hold
DE10-INV-200230,V141090,DE10,2026-03-26,7030.41,EUR,PO6489464,nan,On Hold
UK30-INV-200271,V299041,UK30,2026-03-15,16201.04,GBP,PO7849486,nan,On Hold
IT25-INV-200119,V891743,IT25,2026-02-19,22786.54,EUR,PO2324070,Missing PO,On Hold
US20-INV-200232,V876997,US20,2026-04-10,18744.25,EUR,PO7767528,Quantity Mismatch,On Hold
IT25-INV-200289,V419030,IT25,2026-04-15,2934.17,EUR,PO9399911,nan,On Hold
UK30-INV-200051,V628178,UK30,2026-02-20,17700.12,EUR,PO5261946,Missing GR,On Hold
FR15-INV-200253,V164820,FR15,2026-06-09,648.77,USD,PO9423309,Duplicate Invoice,On Hold
DE10-INV-200280,V378167,DE10,2026-02-04,4142.93,EUR,PO1403119,Quantity Mismatch,On Hold
IT25-INV-200219,V165725,IT25,2026-06-28,5277.39,USD,PO4881185,nan,On Hold
UK30-INV-200211,V427069,UK30,2026-07-10,4928.38,GBP,PO5785956,nan,On Hold
UK30-INV-200271,V299041,UK30,2026-03-15,16201.04,GBP,PO7849486,nan,On Hold
FR15-INV-200058,V229981,FR15,2026-04-07,23689.13,USD,PO3245909,Missing GR,On Hold
FR15-INV-200223,V521909,FR15,2026-03-10,1126.91,USD,PO9109916,Duplicate Invoice,On Hold
FR15-INV-200018,V141090,FR15,2026-06-02,22403.75,EUR,PO8985620,nan,On Hold
US20-INV-200257,V887201,US20,2026-06-27,3126.09,GBP,PO3339767,Missing PO,On Hold
UK30-INV-200011,V370936,UK30,2026-07-19,18809.15,GBP,PO2922135,nan,On Hold
FR15-INV-200098,V165725,FR15,2026-06-23,22543.78,GBP,PO1378165,nan,On Hold
DE10-INV-200070,V832180,DE10,2026-01-17,11796.22,GBP,PO9439834,Missing PO,On Hold
US20-INV-200147,V748143,US20,2026-05-30,19259.34,USD,PO8597626,nan,On Hold
US20-INV-200122,V999159,US20,2026-01-13,18184.13,GBP,PO2661793,Missing PO,On Hold
UK30-INV-200251,V765987,UK30,2026-01-02,6840.69,EUR,PO8809006,nan,On Hold
IT25-INV-200194,V449457,IT25,2026-05-17,24503.81,GBP,PO9171548,Missing PO,On Hold
DE10-INV-200080,V359178,DE10,2026-04-03,21734.69,EUR,PO9752084,Approval Pending,On Hold
US20-INV-200027,V465838,US20,2026-07-08,15851.15,GBP,PO3026580,nan,On Hold
FR15-INV-200123,V373538,FR15,2026-03-01,15393.37,GBP,PO7576651,nan,On Hold
FR15-INV-200158,V621430,FR15,2026-04-11,9050.34,USD,PO3383366,nan,On Hold
US20-INV-200012,V210268,US20,2026-06-13,18900.39,GBP,PO8021855,Price Difference,On Hold
IT25-INV-200029,V314176,IT25,2026-06-10,7436.29,EUR,PO8507324,Missing PO,On Hold
IT25-INV-200059,V627035,IT25,2026-01-28,24652.13,EUR,PO1116739,Missing GR,On Hold
IT25-INV-200259,V210268,IT25,2026-05-04,14900.77,EUR,PO1491036,nan,On Hold
FR15-INV-200073,V373538,FR15,2026-02-15,3070.53,EUR,PO8369434,Quantity Mismatch,On Hold
FR15-INV-200298,V600186,FR15,2026-01-21,13985.56,USD,PO2047343,nan,On Hold
UK30-INV-200221,V521909,UK30,2026-07-04,12659.92,USD,PO6166650,nan,On Hold
FR15-INV-200138,V256730,FR15,2026-02-01,11797.03,USD,PO9047252,Approval Pending,On Hold
DE10-INV-200095,V876997,DE10,2026-02-27,11445.35,USD,PO2270896,Price Difference,On Hold
US20-INV-200102,V600186,US20,2026-06-24,22273.06,USD,PO4351278,Missing PO,On Hold
US20-INV-200202,V428947,US20,2026-05-06,3924.78,EUR,PO9945309,Price Difference,On Hold
IT25-INV-200139,V999159,IT25,2026-07-10,10458.26,EUR,PO6254224,nan,On Hold
UK30-INV-200261,V627035,UK30,2026-06-10,19760.91,EUR,PO7046914,Price Difference,On Hold
US20-INV-200172,V231932,US20,2026-02-24,15564.69,USD,PO3547500,Missing GR,On Hold
DE10-INV-200185,V765987,DE10,2026-01-19,10004.09,EUR,PO8465373,nan,On Hold
DE10-INV-200220,V891743,DE10,2026-03-27,9202.11,EUR,PO6004998,Missing PO,On Hold
IT25-INV-200004,V154886,IT25,2026-02-23,10403.55,GBP,PO4185714,Missing GR,On Hold
FR15-INV-200163,V249503,FR15,2026-01-05,13076.06,EUR,PO1838003,Missing GR,On Hold
US20-INV-200112,V589492,US20,2026-05-17,24657.34,GBP,PO3721864,Duplicate Invoice,On Hold
FR15-INV-200078,V358795,FR15,2026-02-06,9465.53,GBP,PO2500844,nan,On Hold
UK30-INV-200161,V335796,UK30,2026-03-01,13079.65,GBP,PO9593223,nan,On Hold
IT25-INV-200009,V335796,IT25,2026-03-16,21481.56,USD,PO3694946,Quantity Mismatch,On Hold
IT25-INV-200089,V187498,IT25,2026-06-10,1983.84,EUR,PO7827299,Price Difference,On Hold
UK30-INV-200016,V600186,UK30,2026-04-22,20687.47,USD,PO1499876,nan,On Hold
FR15-INV-200088,V832180,FR15,2026-06-09,24825.18,EUR,PO3118324,nan,On Hold
DE10-INV-200000,V370936,DE10,2026-02-17,4559.37,USD,PO1076218,Approval Pending,On Hold
US20-INV-200127,V431236,US20,2026-06-22,1273.68,EUR,PO1428988,Approval Pending,On Hold
IT25-INV-200229,V765987,IT25,2026-06-25,1667.79,EUR,PO4207393,Missing GR,On Hold
US20-INV-200182,V165725,US20,2026-05-25,8804.15,USD,PO5137270,nan,On Hold
DE10-INV-200110,V359178,DE10,2026-04-14,2081.71,USD,PO7790593,Duplicate Invoice,On Hold
US20-INV-200062,V229981,US20,2026-07-16,2224.99,GBP,PO9577064,Price Difference,On Hold
US20-INV-200187,V521909,US20,2026-02-27,21579.74,GBP,PO9070924,Missing PO,On Hold
UK30-INV-200111,V891743,UK30,2026-06-10,24363.71,EUR,PO5851188,nan,On Hold
US20-INV-200157,V284779,US20,2026-07-07,15510.49,GBP,PO2524102,Approval Pending,On Hold
FR15-INV-200108,V231932,FR15,2026-05-10,8930.8,GBP,PO2170365,nan,On Hold
DE10-INV-200085,V335796,DE10,2026-07-07,1222.52,USD,PO7854453,nan,On Hold
FR15-INV-200168,V573254,FR15,2026-04-26,10176.55,EUR,PO8951632,nan,On Hold
DE10-INV-200120,V748143,DE10,2026-06-02,20590.05,GBP,PO8364386,Approval Pending,On Hold
UK30-INV-200131,V970910,UK30,2026-05-24,24683.81,USD,PO8599600,nan,On Hold
IT25-INV-200039,V291335,IT25,2026-07-14,11122.03,GBP,PO4376513,nan,On Hold
US20-INV-200132,V427069,US20,2026-05-22,3887.86,USD,PO7610734,Duplicate Invoice,On Hold
DE10-INV-200295,V589492,DE10,2026-06-06,4396.56,EUR,PO5180303,Duplicate Invoice,On Hold
US20-INV-200107,V275203,US20,2026-06-04,11672.91,EUR,PO3768362,Quantity Mismatch,On Hold
US20-INV-200287,V771155,US20,2026-06-11,10348.36,GBP,PO5322626,Quantity Mismatch,On Hold
US20-INV-200017,V275203,US20,2026-04-09,8103.23,USD,PO2962165,Approval Pending,On Hold
UK30-INV-200146,V771155,UK30,2026-05-05,13952.48,USD,PO5912216,nan,On Hold
US20-INV-200247,V314176,US20,2026-01-04,,EUR,PO8663589,nan,On Hold
IT25-INV-200169,V431236,IT25,2026-04-04,3480.28,USD,PO8429645,Approval Pending,On Hold
US20-INV-200042,V427069,US20,2026-02-02,3059.12,GBP,PO2705215,nan,On Hold
DE10-INV-200090,V586232,DE10,2026-03-08,13913.28,USD,PO7247794,Missing GR,On Hold
FR15-INV-200173,V249503,FR15,2026-06-17,17646.38,GBP,PO5193060,Approval Pending,On Hold
IT25-INV-200159,V449457,IT25,2026-01-08,2971.91,GBP,PO3035848,Duplicate Invoice,On Hold
DE10-INV-200005,V891743,DE10,2026-04-30,9394.65,GBP,PO2728096,Quantity Mismatch,On Hold
FR15-INV-200093,V589492,FR15,2026-01-25,,GBP,PO1876031,Duplicate Invoice,On Hold
